2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity	2theta	Intensity
	01		12		13		15		16		18		19
5.04073288	50.22804548353599	5.04073288	100.51530191972842	5.04073288	75.5499624451042	5.04073288	99.22910060596858	5.04073288	146.66871803789547	5.04073288	33.08857143047865	5.04073288	56.53865214856333
5.08419864	71.7951549142945	5.08419864	92.29785500862977	5.08419864	36.652662876368424	5.08419864	92.0541428160609	5.08419864	145.9265995209727	5.08419864	0.5192948307982874	5.08419864	66.49639366951607
5.1276644	103.3635889108686	5.1276644	107.78383913230056	5.1276644	37.83990445795362	5.1276644	95.46782888121552	5.1276644	109.80022335409038	5.1276644	32.97289119952606	5.1276644	43.534275286323776
5.17113016	41.9333460129468	5.17113016	106.94022076143318	5.17113016	74.10800837686264	5.17113016	77.4406216077883	5.17113016	142.26134100767848	5.17113016	16.448375274187526	5.17113016	36.64904467691619
5.21459592	64.5044247602176	5.21459592	111.73509729702147	5.21459592	44.453423937635904	5.21459592	62.94404947338492	5.21459592	93.2826777589436	5.21459592	15.944787824194918	5.21459592	33.83755245216793
5.25806168	80.07682369236949	5.25806168	91.13766752195826	5.25806168	44.87272515987641	5.25806168	54.95067766178079	5.25806168	139.8379067447422	5.25806168	19.461195319432562	5.25806168	34.09674975061978
5.30152744	63.65054134909096	5.30152744	81.11820265565737	5.30152744	23.36260744528917	5.30152744	34.43407970656591	5.30152744	61.90162355658936	5.30152744	50.996689597486636	5.30152744	-4.576314124934868
5.3449932	66.22557627007049	5.3449932	56.64801800203628	5.3449932	27.91988431313149	5.3449932	47.36880973354869	5.3449932	39.44932136890918	5.3449932	25.55038752965919	5.3449932	8.815505970452847
5.38845896	77.80192699499662	5.38845896	52.6994451813149	5.38845896	36.541484202985544	5.38845896	62.730375292078804	5.38845896	41.45736659174747	5.38845896	50.12143068590339	5.38845896	32.26944874256307
5.43192472	33.37959206355782	5.43192472	41.245804936206014	5.43192472	36.22444734377723	5.43192472	27.49521076557454	5.43192472	40.90297503927815	5.43192472	16.708984998814515	5.43192472	38.78284421691862
5.47539048	103.9585700154426	5.47539048	47.26138050319014	5.47539048	12.96592268797906	5.47539048	47.64065135166251	5.47539048	48.76418860554628	5.47539048	16.312240426807705	5.47539048	47.35311153739889
5.51885624	68.53885939033944	5.51885624	59.7213915396855	5.51885624	13.763164909947477	5.51885624	39.14490760246133	5.51885624	63.01985243900077	5.51885624	40.93041061661114	5.51885624	50.977756804029696
5.562322	47.120458727936835	5.562322	39.60196859803881	5.562322	7.6135314673582855	5.562322	49.98704051566068	5.562322	48.64959260747804	5.562322	49.56273256520086	5.562322	-7.345629050573791
5.60578776	79.70336656792327	5.60578776	41.88012813737777	5.60578776	14.51447972471695	5.60578776	15.146937167168232	5.60578776	69.63379424540665	5.60578776	46.20846628130002	5.60578776	20.38062765337301
5.64925352	95.2875814499873	5.64925352	41.533748064479994	5.64925352	46.46356413793271	5.64925352	25.605286876215814	5.64925352	47.95358017510799	5.64925352	38.86689444656312	5.64925352	35.15428129502905
5.69271928	68.87310191381735	5.69271928	38.54154379492496	5.69271928	32.458433498958726	5.69271928	14.343557893932712	5.69271928	18.59078999417642	5.69271928	22.53732207656313	5.69271928	6.973164942251458
5.73618504	80.45992649910198	5.73618504	39.8830448259086	5.73618504	39.496828239512695	5.73618504	5.343974606512347	5.73618504	40.52795962102368	5.73618504	48.21907618169689	5.73618504	21.835188377536383
5.7796508	70.04805374552961	5.7796508	45.538571812208005	5.7796508	18.576577792904686	5.7796508	25.589495244212827	5.7796508	41.74830129077924	5.7796508	79.91150542812096	5.7796508	-2.2616638399192084
5.82311656	64.63748219278878	5.82311656	10.48921413689601	5.82311656	-3.3044019869886085	5.82311656	35.06379008754635	5.82311656	34.23568399383828	5.82311656	15.613979798828609	5.82311656	3.6806657234738793
5.86658232	90.22821038056799	5.86658232	37.716807968512086	5.86658232	8.851888649448483	5.86658232	20.7512201621264	5.86658232	18.97461434945231	5.86658232	7.325890254974837	5.86658232	26.66030550853168
5.91004808	58.82023684855574	5.91004808	30.20391479650283	5.91004808	24.04353087800385	5.91004808	14.63681641375274	5.91004808	62.95021790685729	5.91004808	22.046648397555316	5.91004808	24.675453130793272
5.95351384	68.41356013644051	5.95351384	37.93380043685286	5.95351384	14.268684885407794	5.95351384	32.706259355426255	5.95351384	39.148220866533734	5.95351384	1.7756861295411	5.95351384	2.7243735822026736
5.9969796	81.00817878391081	5.9969796	35.890414499931836	5.9969796	22.525587507526808	5.9969796	19.94585917809485	5.9969796	50.55493221429191	5.9969796	9.512455318569977	5.9969796	13.805397466503962
6.04044536	73.60409133065511	6.04044536	28.058370312686066	6.04044536	0.8125499200802437	6.04044536	13.342536317040697	6.04044536	17.15722626097397	6.04044536	29.25642746029169	6.04044536	47.91691926788354
6.08391112	90.20129631636192	6.08391112	18.422925287408475	6.08391112	7.127955380990045	6.08391112	24.88380246592726	6.08391112	39.94252558065847	6.08391112	30.007093342463037	6.08391112	3.057395652397304
6.12737688	44.79979228071977	6.12737688	30.969961729420987	6.12737688	18.470257023486	6.12737688	39.55774203063072	6.12737688	19.89878434035313	6.12737688	52.76396270988553	6.12737688	13.225343801725131
6.17084264	42.39957776341711	6.17084264	4.685968076106008	6.17084264	17.837975699099474	6.17084264	11.352994015085926	6.17084264	50.01447201425168	6.17084264	39.526563930276666	6.17084264	-1.5806602211990821
6.2143084	98.00065130414245	6.2143084	-1.441979440178045	6.2143084	11.229697869690568	6.2143084	11.258734331482742	6.2143084	15.278557475727098	6.2143084	32.2944436611634	6.2143084	20.638016924869504
6.25777416	76.60301144258429	6.25777416	52.57376528733914	6.25777416	28.644073547664505	6.25777416	-4.735341472749667	6.25777416	-1.3195065396732844	6.25777416	17.067166517883777	6.25777416	15.880064287528057
6.30123992	105.2066567184311	6.30123992	31.721400728528522	6.30123992	17.07981428354404	6.30123992	29.36096492137102	6.30123992	5.210201393123839	6.30123992	34.84431474278145	6.30123992	22.144225079312776
6.34470568	83.8115856713714	6.34470568	15.989660607134397	6.34470568	43.53569120007592	6.34470568	17.538338142666134	6.34470568	31.858056573875047	6.34470568	12.625487875674082	6.34470568	10.429295166397395
6.38817144	61.41779684109375	6.38817144	8.36779718655697	6.38817144	9.010533072059872	6.38817144	5.787933062796867	6.38817144	26.614873713519216	6.38817144	49.41030242567646	6.38817144	-3.2658784130261154
6.4316372	73.02528876728653	6.4316372	27.845564943667114	6.4316372	12.503224451099697	6.4316372	13.101359116822266	6.4316372	41.47189281564522	6.4316372	22.198391544454864	6.4316372	38.05760109889033
6.47510296	106.63405998963827	6.47510296	6.413204623770014	6.47510296	48.0127038344865	6.47510296	61.47066500425444	6.47510296	33.42076539664322	6.47510296	44.989404700989155	6.47510296	32.39867875612572
